id,state,category,organization,title,project_value,deadline,ai_score,eligibility,emd,contractor_class,experience,description,detailed_requirements,direct_url
1,Chhattisgarh,Civil Works,PWD Raipur,Construction of CC Road and Drainage Network in Gudiyaari,₹ 45.00 L,24 Jun 2026,96%,Eligible,₹ 45000,Class C,1-3 Years,Full-scale excavation and laying of cement concrete roadbeds with integrated subterranean stormwater drainage systems.,Must possess valid Class-C or higher civil registration with CG PWD and show execution of similar concrete road works in the past 3 years.,https://eproc.cgstate.gov.in
2,Chhattisgarh,Electrical,Bilaspur Nagar Nigam,Supply and Installation of 250W Smart LED Streetlights,₹ 12.00 L,10 Jul 2026,88%,Eligible,₹ 12000,Class D,No Experience,Procurement and grid integration of energy-efficient 250W smart web-connected LED luminaires.,Authorized OEM dealership or manufacturing certificate with Bureau of Energy Efficiency star ratings and 5-year replacement warranty.,https://www.cguadfinance.in
3,Chhattisgarh,Coal Supply,SECL Bilaspur,Supply and Mechanical Transportation of Coal (500 MT),₹ 2.36 Cr,01 Aug 2026,98%,Eligible,₹ 236000,Class A,3+ Years,Large-scale industrial transport operations involving lifting bulk crushed coal from open-cast stockpiles.,Minimum fleet size of 15 registered Tipper Trucks of 16-MT capacity with valid SECL cluster transit permit codes.,https://ansh.secl-cil.in
4,Chhattisgarh,Medical Supply,CGMSC Raipur,Bulk Sourcing of Digital 12-Lead ECG Machines,₹ 35.00 L,22 Jul 2026,92%,Eligible,Exempted,Open,1-3 Years,Comprehensive supply logistical distribution and on-site calibration for medical-grade diagnostic equipment.,Valid Drug and Equipment Wholesale License with ISO 13485 compliance and an established service center setup inside state boundaries.,https://eproc.cgstate.gov.in
5,Chhattisgarh,Government Jobs,CGPSC Raipur,Junior Engineer (Civil) Recruitment,₹ 45000 /mo,28 Jul 2026,85%,Review Required,Exempted,N/A,No Experience,Core technical deployment within the public works division managing rural highway design layout mappings.,B.E. or B.Tech degree in Civil Engineering from a recognized institution with valid state screening qualification scores.,https://psc.cg.gov.in
6,Chhattisgarh,Medical Supply,Apollo Hospitals Raipur,Senior Staff Nurse Openings,₹ 35000 /mo,19 Jul 2026,78%,Review Required,Exempted,N/A,1-3 Years,Immediate clinical placements for managing emergency triage units and patient critical charts.,B.Sc Nursing or GNM certification with active registry under the Chhattisgarh Nursing Council and minimum 2 years clinical exposure.,https://www.apollohospitals.com
7,Chhattisgarh,IT Services,CHiPS Raipur,Data Center Network Administrator,₹ 75000 /mo,05 Aug 2026,89%,Eligible,Exempted,N/A,3+ Years,Full-time cloud cluster tracking managing hardware firewalls patch update arrays inside the central hub.,B.Tech or MCA with Cisco CCNA or CCNP registry codes and minimum 3 years server stack deployment histories.,https://chips.gov.in
8,Chhattisgarh,Civil Works,RES Durg Sector,Water Pipeline and Storage Tank Installation,₹ 22.00 L,29 Jul 2026,94%,Eligible,₹ 22000,Class D,1-3 Years,Excavation and laying of localized HDPE piping distribution tracks and 50KL drinking water storage tanks.,Valid CG RES plumbing or structural license matrix with proof of past public construction pipeline setups.,https://egramswaraj.gov.in
9,Uttar Pradesh,Civil Works,UP PWD Gonda,Special Repair and Widening of DMB Highway,₹ 1.85 Cr,18 Jul 2026,91%,Eligible,₹ 185000,Class A,3+ Years,Asphalt overlaying shoulder reinforcement and curve correction over a 12-kilometer high-traffic transport artery.,Class-A Corporate Civil Registration with UP PWD and annual financial turnover exceeding 2 Crores over past two fiscal periods.,https://etender.up.nic.in
10,Uttar Pradesh,Medical Supply,Lucknow Nagar Nigam,Emergency Procurement of Sanitization Packs,₹ 8.50 L,05 Jul 2026,97%,Eligible,₹ 8500,Open,No Experience,Rate contract for rapid emergency stocking of commercial sanitizing compounds.,Central or State Drug Controller authorized vendor code with capacity to mobilize bulk order items within a rolling 48-hour window.,https://localbodies.up.nic.in
11,Uttar Pradesh,IT Services,UPSSSC Lucknow,Contractual Junior Software Assistants,₹ 35000 /mo,30 Jul 2026,82%,Review Required,Exempted,N/A,No Experience,Immediate technical placements for processing automated database indexing and localized web endpoints.,Academic Degree in BSc Computer Science or BCA or BTech IT with certified typing cadence matching minimum 30 WPM in English and Hindi.,https://www.upsssc.gov.in
12,Uttar Pradesh,Civil Works,Panchayati Raj Gorakhpur,Construction of Village Panchayat Bhawan,₹ 24.00 L,25 Jul 2026,95%,Eligible,₹ 24000,Class C,1-3 Years,Building a dedicated administrative facility featuring masonry walls and network cabling provisions.,Class-C or higher construction certificate from active UP structural branches with native regional logistics sourcing map clearance.,https://egramswaraj.gov.in
13,Uttar Pradesh,Transport,NCL Singrauli,Internal Mine Haul Road Maintenance & Tipper Leasing,₹ 1.42 Cr,12 Aug 2026,87%,Review Required,₹ 142000,Class B,3+ Years,Structural grading of internal mine dirt tracks dust suppression wetting runs and leasing of fleets.,Registered industrial logistics or heavy machinery fleet enterprise setup with valid DGMS personnel safety passes.,https://etender.up.nic.in
14,Uttar Pradesh,IT Services,NIC Lucknow,Senior Python Developer (Cloud Systems),₹ 1.10 L /mo,15 Aug 2026,99%,Eligible,Exempted,N/A,3+ Years,Designing core backend workflows data streaming microservices frameworks and maintaining database structures.,B.Tech Computer Science or MCA with 4 years Python application design profiling background and database index optimization knowledge.,https://nic.up.nic.in
15,Uttar Pradesh,Government Jobs,UP State Road Transport,Assistant Traffic Inspector,₹ 40000 /mo,26 Jul 2026,76%,Review Required,Exempted,N/A,1-3 Years,Monitoring regional transport dispatch schedules conducting ticket audits across highway routes.,Graduate degree in any discipline with clean tracking records and standard regional documentation clearances.,https://upsrtc.up.gov.in
16,Uttar Pradesh,Manufacturing,Kanpur Municipal Corp,Supply of Bulk Liquid Chlorine for Water Treatment,₹ 34.00 L,08 Aug 2026,93%,Eligible,₹ 34000,Class C,1-3 Years,Continuous supply contract for premium chemical treatment compounds and safe logistical drop-offs.,Valid industrial hazardous chemicals handling permissions manufacturing certificate and specialized transit vehicle registrations.,https://localbodies.up.nic.in
