id,state,tier,sector,location,title,estimated_value,emd,qualification_class,direct_url,closing_date,license_class,experience_tier
1,Chhattisgarh,State e-Tenders,Civil Construction,PWD Raipur,Construction of CC Road and Drainage Network in Gudiyaari,4500000,45000,Class-C Civil Registration or Above,https://eproc.cgstate.gov.in,2026-07-15,Class C,1-3 Years
2,Chhattisgarh,Nagar Palika (Municipal),Material Supply,Bilaspur Nagar Nigam,Supply and Installation of 250W Smart LED Streetlights across Ward 14,1200000,12000,Class-D Electrical Registration,https://www.cguadfinance.in,2026-07-10,Class D,No Experience
3,Chhattisgarh,State e-Tenders,Coal Logistics,SECL Korba Area,Loading and Mechanical Transportation of Coal from Gevra Mine Slopes,23600000,236000,Category-I Registered Transport Fleet Owner Certificate,https://ansh.secl-cil.in,2026-08-01,Class A,3+ Years
4,Chhattisgarh,State e-Tenders,Medical Supply,CGMSC Raipur,Bulk Sourcing of Digital 12-Lead ECG Machines for District Hospitals,3500000,Exempted,Certified Medical Equipment Vendor (ISO 13485),https://eproc.cgstate.gov.in,2026-07-22,Open / Corporate,1-3 Years
5,Chhattisgarh,Gramin Yojna (Rural),Civil Construction,RES Bastar Jagdalpur,Drilling and Commissioning of Community Borewells under Jal Jeevan Mission,1800000,18000,Class-D Civil or Drilling License Holder,https://egramswaraj.gov.in,2026-07-19,Class D,1-3 Years
6,Uttar Pradesh,State e-Tenders,Civil Construction,UP PWD Gonda,Special Repair and Widening of DMB District Connecting Highway,18500000,185000,Class-A Civil Contractor License issued by UP PWD,https://etender.up.nic.in,2026-07-18,Class A,3+ Years
7,Uttar Pradesh,Nagar Palika (Municipal),Medical Supply,Lucknow Nagar Nigam,Emergency Procurement of Medical Surcharges and Sanitization Chemical Drops,850000,8500,Registered Pharmaceutical Wholesaler with Active Drug License,https://localbodies.up.nic.in,2026-07-05,Open / Corporate,No Experience
8,Uttar Pradesh,Employment Portal,Government Job,UPSSSC Lucknow,Recruitment of Contractual Junior Software Assistants and Data Entry Techs,35000,Exempted,B.Sc Computer Science / BCA with minimum 30WPM Hindi/English Typing Speed,https://www.upsssc.gov.in,2026-07-30,Not Applicable,No Experience
9,Uttar Pradesh,Gramin Yojna (Rural),Civil Construction,Panchayati Raj Dept Gorakhpur,Construction of Village Panchayat Bhawan and Community IT Center Link,2400000,24000,Class-C Civil Contractor License or Above,https://egramswaraj.gov.in,2026-07-25,Class C,1-3 Years
10,Uttar Pradesh,State e-Tenders,Coal Logistics,NCL Singrauli Sector,Internal Mine Haul Road Maintenance and HMV Tipper Truck Leasing Contract,14200000,142000,Registered Mining/Logistics Enterprise with ISO Safety Clearances,https://etender.up.nic.in,2026-08-12,Class B,3+ Years
